Time	Pleth	SPO2	PR	SI
12:25:47	53	99	100	3
12:25:47	52	99	100	3
12:25:47	50	99	100	3
12:25:47	49	99	100	3
12:25:47	48	99	100	3
12:25:47	47	99	100	3
12:25:47	46	99	100	3
12:25:47	46	99	100	3
12:25:47	45	99	100	3
12:25:47	45	99	100	3
12:25:47	44	99	100	3
12:25:47	44	99	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	45	98	100	3
12:25:47	45	98	100	3
12:25:47	45	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	42	98	100	3
12:25:47	42	98	100	3
12:25:47	41	98	100	3
12:25:47	41	98	100	3
12:25:47	40	98	100	3
12:25:47	40	98	100	3
12:25:47	39	98	100	3
12:25:47	39	98	100	3
12:25:47	39	98	100	3
12:25:47	40	98	100	3
12:25:47	40	98	100	3
12:25:47	41	98	100	3
12:25:47	42	98	100	3
12:25:47	43	98	100	3
12:25:47	45	98	100	3
12:25:47	47	98	100	3
12:25:47	48	98	100	3
12:25:47	50	98	100	3
12:25:47	52	98	100	3
12:25:47	53	98	100	3
12:25:47	55	98	100	3
12:25:47	56	98	100	3
12:25:47	56	98	100	3
12:25:47	56	98	100	3
12:25:47	56	98	100	3
12:25:47	56	98	100	3
12:25:47	55	98	100	3
12:25:47	54	98	100	3
12:25:47	53	98	100	3
12:25:47	52	98	100	3
12:25:47	50	98	100	3
12:25:47	49	98	100	3
12:25:47	48	98	100	3
12:25:47	47	98	100	3
12:25:47	46	98	100	3
12:25:47	45	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	44	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	43	98	100	3
12:25:47	42	98	100	3
12:25:47	42	98	100	3
12:25:47	41	98	100	3
12:25:47	41	98	100	3
12:25:47	40	98	100	3
12:25:47	40	98	100	3
12:25:47	39	98	100	3
12:25:47	39	98	100	3
12:25:47	39	98	100	3
12:25:47	39	98	100	3
12:25:47	40	98	100	3
12:25:47	41	98	100	3
12:25:48	42	98	100	3
12:25:48	44	98	100	3
12:25:48	45	98	100	3
12:25:48	47	98	100	3
12:25:48	49	98	100	3
12:25:48	51	98	100	3
12:25:48	53	98	100	3
12:25:48	54	98	100	3
12:25:48	56	98	100	3
12:25:48	57	98	100	3
12:25:48	57	98	100	3
12:25:48	57	98	100	3
12:25:48	57	98	100	3
12:25:48	56	98	100	3
12:25:48	55	98	100	3
12:25:48	54	98	100	3
12:25:48	53	98	100	3
12:25:48	51	98	100	3
12:25:48	50	98	100	3
12:25:48	49	98	100	3
12:25:48	47	98	100	3
12:25:48	46	98	107	3
12:25:48	45	98	107	3
12:25:48	44	98	107	3
12:25:48	44	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	44	98	107	3
12:25:48	44	98	107	3
12:25:48	44	98	107	3
12:25:48	44	98	107	3
12:25:48	44	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	43	98	107	3
12:25:48	42	98	107	3
12:25:48	42	98	107	3
12:25:48	41	98	107	3
12:25:48	41	98	107	3
12:25:48	40	98	107	3
12:25:48	40	98	107	3
12:25:48	40	98	107	3
12:25:48	40	98	107	3
12:25:48	40	98	107	3
12:25:48	40	98	107	3
12:25:48	41	98	107	3
12:25:48	43	98	107	3
12:25:48	44	98	107	3
12:25:48	46	98	107	3
12:25:48	48	98	107	3
12:25:48	50	98	107	3
12:25:48	52	98	107	3
12:25:48	54	98	107	3
12:25:48	56	98	107	3
12:25:48	58	98	107	3
12:25:48	59	98	107	3
12:25:48	59	98	107	3
12:25:48	60	98	107	3
12:25:48	59	98	107	3
12:25:48	59	98	107	3
12:25:48	58	98	107	3
12:25:48	57	98	107	3
12:25:48	55	98	107	3
12:25:48	54	98	107	3
12:25:48	52	98	107	3
